역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9,congestionCar_10,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft,congestionCar_9_fft,congestionCar_10_fft
213,8.000000,0,530.000000,평일,20.707071,23.169192,20.457071,21.830808,19.896465,20.439394,19.904040,20.876263,18.280303,17.611111,20.707071,23.169192,20.457071,21.830808,19.896465,20.439394,19.904040,20.876263,18.280303,17.611111
214,8.000000,0,530.000000,평일,23.373737,21.621212,20.348485,23.257576,20.378788,19.404040,18.777778,18.994949,17.146465,16.151515,23.373737,21.621212,20.348485,23.257576,20.378788,19.404040,18.777778,18.994949,17.146465,16.151515
215,8.000000,0,530.000000,평일,26.040404,20.073232,20.239899,24.684343,20.861111,18.368687,17.651515,17.113636,16.012626,14.691919,26.040404,20.073232,20.239899,24.684343,20.861111,18.368687,17.651515,17.113636,16.012626,14.691919
216,8.000000,0,530.000000,평일,28.707071,18.525253,20.131313,26.111111,21.343434,17.333333,16.525253,15.232323,14.878788,13.232323,28.707071,18.525253,20.131313,26.111111,21.343434,17.333333,16.525253,15.232323,14.878788,13.232323
217,8.000000,0,530.000000,평일,26.828283,18.939394,20.989899,24.626263,18.792929,15.833333,16.343434,13.388889,12.979798,12.126263,26.828283,18.939394,20.989899,24.626263,18.792929,15.833333,16.343434,13.388889,12.979798,12.126263
218,8.000000,0,530.000000,평일,24.949495,19.353535,21.848485,23.141414,16.242424,14.333333,16.161616,11.545455,11.080808,11.020202,24.949495,19.353535,21.848485,23.141414,16.242424,14.333333,16.161616,11.545455,11.080808,11.020202
219,8.000000,0,530.000000,평일,36.864646,34.252525,36.739394,39.931313,30.779798,28.884848,33.181818,27.573737,24.694949,29.056566,36.864646,34.252525,36.739394,39.931313,30.779798,28.884848,33.181818,27.573737,24.694949,29.056566
220,8.000000,0,530.000000,평일,48.779798,49.151515,51.630303,56.721212,45.317172,43.436364,50.202020,43.602020,38.309091,47.092929,48.779798,49.151515,51.630303,56.721212,45.317172,43.436364,50.202020,43.602020,38.309091,47.092929
221,8.000000,0,530.000000,평일,60.694949,64.050505,66.521212,73.511111,59.854545,57.987879,67.222222,59.630303,51.923232,65.129293,60.694949,64.050505,66.521212,73.511111,59.854545,57.987879,67.222222,59.630303,51.923232,65.129293
222,8.000000,0,530.000000,평일,72.610101,78.949495,81.412121,90.301010,74.391919,72.539394,84.242424,75.658586,65.537374,83.165657,72.610101,78.949495,81.412121,90.301010,74.391919,72.539394,84.242424,75.658586,65.537374,83.165657
223,8.000000,0,530.000000,평일,84.525253,93.848485,96.303030,107.090909,88.929293,87.090909,101.262626,91.686869,79.151515,101.202020,84.525253,93.848485,96.303030,107.090909,88.929293,87.090909,101.262626,91.686869,79.151515,101.202020
224,8.000000,0,530.000000,평일,85.555556,98.040404,98.670034,106.555556,91.720539,88.154882,102.114478,92.101010,78.340067,101.781145,85.555556,98.040404,98.670034,106.555556,91.720539,88.154882,102.114478,92.101010,78.340067,101.781145
225,8.000000,0,530.000000,평일,86.585859,102.232323,101.037037,106.020202,94.511785,89.218855,102.966330,92.515152,77.528620,102.360269,86.585859,102.232323,101.037037,106.020202,94.511785,89.218855,102.966330,92.515152,77.528620,102.360269
226,8.000000,0,530.000000,평일,87.616162,106.424242,103.404040,105.484848,97.303030,90.282828,103.818182,92.929293,76.717172,102.939394,87.616162,106.424242,103.404040,105.484848,97.303030,90.282828,103.818182,92.929293,76.717172,102.939394
227,8.000000,0,530.000000,평일,75.587121,92.809848,90.044697,91.435859,85.949495,79.481566,90.849747,81.969192,66.793434,92.098990,75.587121,92.809848,90.044697,91.435859,85.949495,79.481566,90.849747,81.969192,66.793434,92.098990
