역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
741,7.000000,0.000000,530.000000,평일,51.552778,75.325000,73.369444,64.261111,64.786111,65.361111,49.336111,37.833333,103.105556,150.650000,146.738889,128.522222,129.572222,130.722222,98.672222,75.666667
742,7.000000,0.000000,530.000000,평일,46.222222,65.344444,63.900000,58.455556,59.122222,58.788889,44.755556,32.888889,92.444444,130.688889,127.800000,116.911111,118.244444,117.577778,89.511111,65.777778
743,7.000000,0.000000,530.000000,평일,47.259259,64.381790,59.943519,64.477469,59.415741,60.205864,51.708642,40.450617,94.518519,128.763580,119.887037,128.954938,118.831481,120.411728,103.417284,80.901235
744,7.000000,0.000000,530.000000,평일,48.296296,63.419136,55.987037,70.499383,59.709259,61.622840,58.661728,48.012346,96.592593,126.838272,111.974074,140.998765,119.418519,123.245679,117.323457,96.024691
745,7.000000,0.000000,530.000000,평일,49.333333,62.456481,52.030556,76.521296,60.002778,63.039815,65.614815,55.574074,98.666667,124.912963,104.061111,153.042593,120.005556,126.079630,131.229630,111.148148
746,7.000000,0.000000,530.000000,평일,50.370370,61.493827,48.074074,82.543210,60.296296,64.456790,72.567901,63.135802,100.740741,122.987654,96.148148,165.086420,120.592593,128.913580,145.135802,126.271605
747,7.000000,0.000000,530.000000,평일,49.559524,59.029101,49.436508,75.582011,59.853175,66.291005,67.556878,62.752646,99.119048,118.058201,98.873016,151.164021,119.706349,132.582011,135.113757,125.505291
748,7.000000,0.000000,530.000000,평일,48.748677,56.564374,50.798942,68.620811,59.410053,68.125220,62.545855,62.369489,97.497354,113.128748,101.597884,137.241623,118.820106,136.250441,125.091711,124.738977
749,7.000000,0.000000,530.000000,평일,47.937831,54.099647,52.161376,61.659612,58.966931,69.959436,57.534832,61.986332,95.875661,108.199295,104.322751,123.319224,117.933862,139.918871,115.069665,123.972663
750,7.000000,0.000000,530.000000,평일,47.126984,51.634921,53.523810,54.698413,58.523810,71.793651,52.523810,61.603175,94.253968,103.269841,107.047619,109.396825,117.047619,143.587302,105.047619,123.206349
709,7.000000,0.000000,630.000000,일요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
710,7.000000,0.000000,630.000000,일요일,4.810185,2.370370,1.939815,1.467593,1.666667,2.351852,2.472222,2.009259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
